nombre,correo,contrasena,configuracion_id
JuanPerez,juan.perez@example.com,password123,1
MariaLopez,maria.lopez@example.com,mysecurepassword,1
CarlosSanchez,carlos.sanchez@example.com,anotherpassword,1
AnaMartinez,ana.martinez@example.com,password456,1
LuisGarcia,luis.garcia@example.com,securepass789,1
LauraGomez,laura.gomez@example.com,pass1234,1
PedroRuiz,pedro.ruiz@example.com,password000,1
MartaHernandez,marta.hernandez@example.com,passw0rd,1
SergioDiaz,sergio.diaz@example.com,123password,1
IsabelFernandez,isabel.fernandez@example.com,abcd1234,1
JavierMoreno,javier.moreno@example.com,myP@ssword!,1
ElenaVega,elena.vega@example.com,s3cur3Pa55,1
PabloTorres,pablo.torres@example.com,qwerty123,1
LuciaRamos,lucia.ramos@example.com,letmein456,1
RaulLopez,raul.lopez@example.com,1234abcd,1
ClaudiaPerez,claudia.perez@example.com,Pa$$word2023,1
DiegoJimenez,diego.jimenez@example.com,password#1,1
CarmenSoto,carmen.soto@example.com,newpassword2,1
AdrianNavarro,adrian.navarro@example.com,mynewpass9,1
PatriciaCastro,patricia.castro@example.com,helloWorld1,1
